,Year,Player,Tm,Age,Pos,college
9657,1989.0,Dave Popson,MIA,24.0,PF,University of North Carolina
9658,1989.0,Terry Porter,POR,25.0,PG,University of Wisconsin-Stevens Point
9659,1989.0,Paul Pressey,MIL,30.0,SG,University of Tulsa
9660,1989.0,Dominic Pressley,TOT,24.0,PG,Boston College
9661,1989.0,Dominic Pressley,WSB,24.0,PG,Boston College
9662,1989.0,Dominic Pressley,CHI,24.0,PG,Boston College
9663,1989.0,Harold Pressley,SAC,25.0,PF,Villanova University
9664,1989.0,Mark Price,CLE,24.0,PG,Georgia Institute of Technology
9665,1989.0,Kurt Rambis,CHH,30.0,PF,Santa Clara University
9666,1989.0,Blair Rasmussen,DEN,26.0,C,University of Oregon
9667,1989.0,Robert Reid,CHH,33.0,SF,St. Mary's University
9668,1989.0,Jerry Reynolds,SEA,26.0,SG,Louisiana State University
9669,1989.0,Mitch Richmond*,GSW,23.0,SG,
9670,1989.0,Ramon Rivas,BOS,22.0,C,Temple University
9671,1989.0,David Rivers,LAL,24.0,PG,University of Notre Dame
9672,1989.0,Doc Rivers,ATL,27.0,PG,Marquette University
9673,1989.0,Fred Roberts,MIL,28.0,PF,Brigham Young University
9674,1989.0,Alvin Robertson,SAS,26.0,SG,University of Arkansas
9675,1989.0,Cliff Robinson,PHI,28.0,SF,University of Southern California
9676,1989.0,Dennis Rodman*,DET,27.0,SF,
9677,1989.0,Tree Rollins,CLE,33.0,C,Clemson University
9678,1989.0,Rob Rose,LAC,24.0,SG,George Mason University
9679,1989.0,Scott Roth,TOT,25.0,SF,University of Wisconsin
9680,1989.0,Scott Roth,UTA,25.0,SF,University of Wisconsin
9681,1989.0,Scott Roth,SAS,25.0,SF,University of Wisconsin
9682,1989.0,Jim Rowinski,TOT,28.0,PF-C,Purdue University
9683,1989.0,Jim Rowinski,DET,28.0,PF,Purdue University
9684,1989.0,Jim Rowinski,PHI,28.0,C,Purdue University
9685,1989.0,Brian Rowsom,CHH,23.0,PF,University of North Carolina at Wilmington
9686,1989.0,John Salley,DET,24.0,PF,Georgia Institute of Technology
9687,1989.0,Ralph Sampson*,GSW,28.0,C,
9688,1989.0,Mike Sanders,CLE,28.0,SF,"University of California, Los Angeles"
9689,1989.0,Danny Schayes,DEN,29.0,C,Syracuse University
9690,1989.0,Russ Schoene,SEA,28.0,PF,University of Tennessee at Chattanooga
9691,1989.0,Detlef Schrempf,TOT,26.0,PF,University of Washington
9692,1989.0,Detlef Schrempf,DAL,26.0,PF,University of Washington
9693,1989.0,Detlef Schrempf,IND,26.0,PF,University of Washington
